#id,AGE,MURDER TOOL,CLOTHE,SHOES,HEADWEAR,ACCESSORY,JOB,TIME,PLACE,SOUND,TRACE
4950,30s,Fabric Scissors,Pilot Bomber Jacket,White Running Shoes,Comma Hairstyle,Engagement Ring,Firefighter,Night,Single Corridor Apartment,Finger Snap,Metal Fragments
4951,70s,Old Circular Saw,Yellow Short Cardigan,Black Boots,Short Permed Hair,Skull Shaped Ring,Sanitation Worker,Night,Big Old Arboretum,Whistle,Black Hair
4952,50s,Rusty Shotgun,Long Sleeve Tshirt,Ivory Converse,Long Brown hair,Colorful Bracelets,Janitor,Late Night,University Hospital,Twisting Jaw joint,Fibrous Tissues
4953,20s,Irregular Shaped Rock,China Collar Shirt,Ivowy Suede Moccasin,Low Ponytail,Black Disposable Mask,Athletic Trainer,Morning,House With Yard,Reading Buddhist Text,Excrements
4954,30s,Red Chainsaw,Stripe Tshirt,Chess Patteren loafer,Long Hippie Perm,Black Disposable Mask,Mechanic,Late Afternoon,Blackout Parking Lot,Fan Sound,Written In Blood
4955,50s,Duct Tape,Logo Printed Windbreaker,German Army Trainers,Cherry Red Hair,Engagement Ring,Nurse,Early Morning,Semi Basement Apartment,Stepping Cobble,Glass Fragments
4956,20s,Green Utility Knife,Khaki Tshirt,Red Football Boots,Long Layered Hair,Black Backpack,Engineer,Night,Haunted House,Spit On Ground,Fly
4957,20s,Ice Pick,Old Denim Jacket,Blue Football Boots,Short Curly Hair,Wide Leather Bracelet,Photographer,Late Night,Famous Traditional Market,Gas Range On,Light Brown Hair
4958,40s,Pesticide,Long Padded Coat,Thigh High Wellies,High Ponytail,Cross Charm Bracelet,Director,Late Afternoon,Lonesome Bus Station,Digging With Shovel,Lipstick Stained Cigarette
4959,40s,Water,White Tshirt,Brown Leather Loafer,High Ponytail,Chocker Necklace,Janitor,Late Night,Blackout Parking Lot,Dog Barking,Black Hair
4960,20s,Wooden Crutch,Grey Hiking Jacket,Red Football Boots,Mid-long Straight Hair,Thick Chain Nechlace,Police Officer,Night,Self Service Cafe,Chewing Paper Cup,Nail Tips
4961,50s,Flathead Screwdriver,China Collar Shirt,Ivory Converse,Long Hair,Cross Charm Bracelet,Mechanic,Late Night,House With Yard,Cutting Something,Women`s Underwear
4962,30s,Red Chainsaw,Duck Patch Hoodie,Chess Patteren loafer,Pink Permed Hair,Black Backpack,Athletic Trainer,Night,Old DVD room,Finger Snap,Crumpled Cigarette Package
4963,20s,Surgical Blade,Long Padded Coat,Bare Foot,Short Hair,Nose Piercing,Police Officer,Deep Dawn,Hostel (Mixed Dorm),Fan Sound,Excrements
4964,40s,Mechanical Pencil,White Shirt,Thigh High Wellies,Short Hair,Wide Leather Bracelet,Director,Early Morning,Convinience Store Table,Reading Buddhist Text,Weapon With Fingerprint
4965,60s,Pry Bar,Crop Vest Knit,Red Football Boots,Long Layered Hair,Wide Leather Bracelet,Mart Cashier,Late Afternoon,Town Hall,Fan Sound,Maggot
4966,50s,Muscaria Mushroom,Long Padded Coat,Suede Boat shoes,Two Block Haircut,Colorful Bracelets,Janitor,Morning,Blackout Parking Lot,Backpack Stuff Shaking,Footprint 240mm Loper
4967,40s,Venomous Snake Cage,Grey Fleece Hoodie,Black Long Boots,High Ponytail,Colorful Bracelets,Mechanic,Morning,Single Corridor Apartment,Whistle,Fingerprints
4968,20s,Pottassium Chloride,Blue Shirt,Red Converse,Pixie Cut,Eyebrow Piercing,Athletic Trainer,Night,Female Outfit Outlet,Finger Snap,Excrements
4969,30s,Climbing Rope,Vest With Slits,White Platform Sneakers,Two Block Haircut,Leon Sunglasses,Athletic Trainer,Early Morning,Passenger Seat,Electric Fan Sound,Fingerprints
4970,30s,Pesticide,Crop Vest Knit,Black Boots,Short Permed Hair,Black Backpack,Engineer,Morning,Blackout Parking Lot,Remote Air Conditioner,Irregular Footprints
4971,20s,Stained Handsaw,Grey Fleece Hoodie,Old Leather Oxford,Long Permed Hair,Black Backpack,Janitor,Morning,Big Square Onstage,Fan Sound,Paint Stain
4972,20s,Rusty Pickaxe,Brown Wool Coat,White Platform Sneakers,Comma Hairstyle,Thick Chain Nechlace,Cleaner,Late Night,Female Outfit Outlet,Reading Buddhist Text,Feather
4973,50s,Wooden Cane,Long Padded Coat,White Basketball Shoes,Long Hair,Millitary Backpack,Athletic Trainer,Deep Dawn,Old Snack Bar,Sound of Wave,Headlight
4974,30s,Tetrodotoxin Powder,Ivy League Hoodie,Thigh High Wellies,Black Short Babyperm,Black Disposable Mask,Firefighter,Early Morning,Blackout Parking Lot,Gas Range On,Scorch Mark
4975,30s,Rusty Shotgun,Ivy League Hoodie,Red Football Boots,Bob With Bangs,Engagement Ring,Nurse,Early Morning,Amusement Park Pillar,Sound of Wave,Cigarette Butts
4976,50s,Red Brick,Grey Fleece Hoodie,Black Converse,Bob With Bangs,Millitary Backpack,Hotel Receptionist,Morning,Hostel (Normal Dorm),Sand Stepping Barefoot,Nail Tips
4977,20s,Stained Handsaw,Green Hiking Jacket,Black Leather Loafer,Long Layered Hair,Drop earrings,Chef,Late Afternoon,Custom Camping Car,Fan Sound,Black Hair
4978,40s,Water,China Collar Shirt,Red Football Boots,Mid-long Curly Hair,Thick Chain Nechlace,Janitor,Late Afternoon,Famous Traditional Market,Propeller Sound,Fingerprints
4979,20s,Machine Gun K15,Grey Fleece Hoodie,Bare Foot,Short Curly Hair,Charm Earrings,Mechanic,Morning,Old DVD room,People Having Conversation,Chewed Gum
4980,20s,Irregular Shaped Rock,Luxury Brown Shearing,German Army Trainers,Long Permed Hair,Engagement Ring,Chef,Deep Dawn,Inn Near Brothel,Dog Barking,Lipstick Stained Cigarette
4981,40s,Beer Bottle,Long Sleeve Tshirt,Black Boots,Short Hair,Left Ear Pierced,Hotel Receptionist,Morning,Deep Forest,Throw Up Blood,Bullet
4982,20s,Monkey Wrench,Undershirt,Brown Flip Flop,Buzz cut hair,Black Backpack,Guard,Late Night,Haunted House,People Having Conversation,Lipstick Without Fingerprint
4983,30s,Mechanical Pencil,Grey Hiking Jacket,White Basketball Shoes,Pomade Hair,Black Backpack,Hotel Receptionist,Morning,Messy Goshiwon,Finger Snap,Arson Attempt
4984,20s,Mechanical Pencil,Yellow Short Cardigan,White Running Shoes,Natural Two Block,Drop earrings,Engineer,Late Night,Inside Taxi,Water Flowing Sound,Chewed Gum
4985,50s,Golf Club,Cotton Zip Hoodie,White Stained Boots,Pink Permed Hair,Engagement Ring,Mechanic,Deep Dawn,Old Studio Apartment,Fan Sound,Chewed Gum
4986,20s,Microgun XM214,Undershirt,Thigh High Wellies,Long Bleached hair,Millitary Backpack,Guard,Morning,Town Hall,Finger Snap,Paint Stain
4987,50s,Green Utility Knife,Emerald Coach Jacket,Ivory Converse,Pixie Cut,Silver Stainless Ring,Mart Cashier,Early Morning,Back Seats,Fan Sound,Feather
4988,30s,Charging Cable,Vest With Slits,German Army Trainers,Short Hair,Silver Stainless Ring,Mechanic,Late Night,School Reunions,People Having Conversation,Black Button
4989,40s,Wrapped Knife,Pilot Bomber Jacket,Brown Leather Loafer,Pomade Hair,Thick Chain Nechlace,Mechanic,Early Morning,Underground Parking Lot,People Having Conversation,Disposable Lighter
4990,20s,Hydrochloric Acid,Lace Blouse,Ivowy Suede Moccasin,Short Permed Hair,Millitary Backpack,Nurse,Morning,Haunted House,Throw Up Blood,Scorch Mark
4991,40s,Glacial Acetic Acid,Blue Shirt,Chess Patteren loafer,High Ponytail,Thick Chain Nechlace,Athlete,Morning,Famous Traditional Market,People Having Conversation,Black Hair
4992,20s,Rusty Pickaxe,China Collar Shirt,Black Low Sneakers,Mid-long Ponytail,Black Backpack,Nurse,Morning,Underground Grocery Store,Cars On Highway,Weapon Without Fingerprint
4993,30s,Female Stocking,Jersey Zip Hoodie,Cherry Colored Boots,Two Block Haircut,Electronics Anklet,Banker,Late Night,Lecture Hall,TV Sports Commentaries,Lipstick Stained Cigarette
4994,20s,Transparent Vodka Bottle,Long buttonless Cardigan,White Platform Sneakers,Short Curly Hair,Thick Chain Nechlace,Firefighter,Night,Female Outfit Outlet,Crack Knuckles,Used Toilet Paper
4995,30s,Gasoline With Zippo,Black Tshirt,White Platform Sneakers,Short Curly Hair,Chocker Necklace,Janitor,Morning,Meat Cold Storage,Chewing Paper Cup,Lipstick Stained Cigarette
4996,40s,Charging Cable,Printed White Tshirt,White Platform Sneakers,Short Permed Hair,Silver Stainless Ring,Engineer,Deep Dawn,Officetel Management Office,Finger Snap,Maggot
4997,50s,Rusty Pickaxe,Blue Shirt,Black Low Sneakers,Long Hair,Cross Charm Bracelet,Soldier,Morning,Hostel (Normal Dorm),Whistle,Used Toilet Paper
4998,20s,Potassium Cyanide,Jersey Zip Hoodie,Blue Football Boots,Two Block Haircut,Buddhist Bead Bracelet,Cleaner,Deep Dawn,Semi Basement Apartment,Finger Snap,Black Hair
4999,20s,Katana,Grey Fleece Hoodie,Strapped Leather Sandal,Short Curly Hair,Millitary Backpack,Hair Designer,Deep Dawn,Messy Goshiwon,Finger Snap,Fly
5000,30s,Prosthetic Hand,Long Sleeve Tshirt,Red Football Boots,Dandy Hairstyle,Skull Shaped Ring,Actor,Early Morning,Town Hall,Digging With Shovel,Cigarette Butts
5001,40s,Green Paring Knife,Grey Fleece Hoodie,Skyblue Flip Flop,Low Ponytail,Millitary Backpack,Cleaner,Night,Subway Station Entrance,Strong Wind,Crumpled Cigarette Package
5002,40s,Rusty Pickaxe,Old Denim Jacket,Cherry Colored Boots,Pixie Cut,Gold Cross Necklace,Professor,Late Afternoon,Female Outfit Outlet,Throw Up Blood,Chewed Gum
5003,50s,Rusty Hammer,Vest With Slits,Red Football Boots,Pomade Hair,Skull Shaped Ring,Guard,Late Night,Night Mountain,Chewing Paper Cup,Different Soil
5004,20s,Submachine Gun K16,Grey Knit Shirt,Black Leather Loafer,Pomade Hair,Silver Stainless Ring,Janitor,Deep Dawn,Closed Factory,Remote Air Conditioner,Maggot
5005,20s,Mercury,White Shirt,German Army Trainers,Cherry Red Hair,Black Backpack,Janitor,Morning,Semi Basement Apartment,Hammering Sound,Used Toilet Paper
5006,60s,Rusty Hammer,Blue Shirt,White Platform Sneakers,High Ponytail,Cross Charm Bracelet,Lawyer,Deep Dawn,Haunted House,Toilet Flush Sound,Light Brown Hair
5007,40s,Wodden Handle Shovel,Duck Patch Hoodie,Red Football Boots,Pomade Hair,Electronics Anklet,Banker,Late Night,Messy Dumpster Alley,Electric Fan Sound,Maggot
5008,60s,Mercury,Lace Blouse,Brown Leather Loafer,Dandy Hairstyle,Black Disposable Mask,Mart Cashier,Early Morning,Amusement Park Pillar,Whistle,Glass Fragments
5009,50s,Wood Branch,Long Sleeve Tshirt,Black Long Boots,Black Short Babyperm,Silver Stainless Ring,Cleaner,Late Night,Single Corridor Apartment,Grind one`s Teeth,Disposable Lighter
5010,30s,Desert Eagle,Jersey Zip Hoodie,White Basketball Shoes,Natural Two Block,Millitary Backpack,Cleaner,Morning,Night Mountain,TV Sports Commentaries,Nail Tips
5011,20s,Green Paring Knife,Short Padded Coat,White Running Shoes,Dandy Hairstyle,Millitary Backpack,Mechanic,Deep Dawn,Broken Street Lamp,People Having Conversation,Arson Attempt
5012,30s,Sharp Edged Stone,Duck Patch Hoodie,White Platform Sneakers,Natural Two Block,Buddhist Bead Bracelet,Guard,Night,Messy Goshiwon,Breaking Bone,Nail Tips
5013,20s,Green Paring Knife,Yellow Short Cardigan,German Army Trainers,Mid-long Ponytail,Thick Chain Nechlace,Athletic Trainer,Night,Amusement Park Pillar,Grill the Meat,Women`s Underwear
5014,40s,Round Edged Stone,Long Field Jacket,Logo Printed Slider,Bob With Bangs,Black Backpack,Athletic Trainer,Late Night,Famous Traditional Market,Chewing Paper Cup,Skid Mark
5015,40s,Flathead Screwdriver,Vest With Slits,Ivowy Suede Moccasin,Two Block Haircut,Colorful Bracelets,Mart Cashier,Early Morning,Big Old Arboretum,Chewing Paper Cup,Different Soil
5016,40s,Red Brick,Undershirt,Ivowy Suede Moccasin,Mid-long Straight Hair,Thick Chain Nechlace,Janitor,Late Night,Semi Basement Apartment,Hammering Sound,Metal Fragments
5017,60s,Venomous Snake Cage,Black Hiking Jacket,Thigh High Wellies,Short Permed Hair,Thick Chain Nechlace,Photographer,Late Night,Officetel Underground Parkinglot,Grill the Meat,Fingerprints
5018,20s,Flathead Screwdriver,Long Padded Coat,Ivowy Suede Moccasin,Cherry Red Hair,Black Backpack,Nurse,Late Night,Small Old Supermarket,TV Sports Commentaries,Paint Stain
5019,40s,Wooden Baseball Bat,Blue Shirt,Black Long Boots,Short Curly Hair,Black Disposable Mask,Soldier,Early Morning,Motel in Backstreet,Chewing Paper Cup,Crumpled Cigarette Package
5020,20s,Sniper Gun ULR338,Long Field Jacket,German Army Trainers,Pomade Hair,Wide Leather Bracelet,Mechanic,Early Morning,Officetel Management Office,Sound of Wave,Excrements
5021,40s,Wooden Handle Hatchet,White Tshirt,Red Converse,Short Curly Hair,Drop earrings,Athletic Trainer,Deep Dawn,Lonesome Bus Station,Toilet Flush Sound,Fibrous Tissues
5022,20s,Charging Cable,Printed White Tshirt,Black Converse,Long Hair,Tennis Wristband,Firefighter,Late Night,Officetel Underground Parkinglot,Strong Wind,Feather
5023,50s,Mechanical Pencil,Grey Hiking Jacket,Bare Foot,Short Permed Hair,Black Disposable Mask,Hotel Receptionist,Morning,Self Service Cafe,Crack Knuckles,Light Brown Hair
5024,40s,Red Chainsaw,Luxury Brown Shearing,White Platform Sneakers,Comma Hairstyle,Buddhist Bead Bracelet,Firefighter,Late Night,Old Guest House,Fan Sound,Metal Fragments
5025,40s,Monkey Wrench,Grey Hiking Jacket,Suede Boat shoes,Long Brown hair,Black Backpack,Mart Cashier,Late Night,Messy Dumpster Alley,Slip and Crash,Scorch Mark
5026,20s,Expandable Nightstick,Jersey Zip Hoodie,Red Converse,Cherry Red Hair,Skull Shaped Ring,Mart Cashier,Night,Room Cafe,Whistle,Different Soil
5027,20s,Aluminum Baseball Bat,Long buttonless Cardigan,Bare Foot,Mid-long Straight Hair,Silver Stainless Ring,Soldier,Deep Dawn,Karaoke Underground,Gas Range On,Chewed Gum
5028,60s,Potassium Cyanide,Grey Hiking Jacket,Black Converse,Mid-long Hair,Skull Shaped Ring,Model,Morning,Famous Traditional Market,Chewing Paper Cup,Footprint 240mm Loper
5029,30s,Surgical Blade,Logo Printed Sweatshirt,Chess Patteren loafer,Mid-long Curly Hair,Wide Leather Bracelet,Chef,Deep Dawn,Messy Goshiwon,Chewing Gum,Maggot
5030,40s,Potassium Cyanide,Yellow Short Cardigan,Black Low Sneakers,Mid-long Curly Hair,Wide Leather Bracelet,Sanitation Worker,Early Morning,Old DVD room,Irregular Walking Sound,Glass Fragments
5031,50s,Beer Bottle,Black Hiking Jacket,Ivory Converse,Two Block Haircut,Drop earrings,Soldier,Early Morning,Subway Station Entrance,Fan Sound,Crumpled Cigarette Package
5032,20s,Green Utility Knife,Long buttonless Cardigan,White Platform Sneakers,Long Curly Hair,Engagement Ring,Firefighter,Deep Dawn,Town Hall,Crack Knuckles,Black Hair
5033,50s,Pottassium Chloride,Blue Shirt,Chess Patteren loafer,Perm With Bangs,Thick Chain Nechlace,Model,Late Night,Semi Basement Apartment,Cars On Highway,Black Button
5034,40s,Bottle of Propofol,Long Sleeve Tshirt,Black Leather Loafer,Long Bleached hair,Buddhist Bead Bracelet,Actor,Morning,SUV Back Seats,TV Sports Commentaries,Maggot
5035,60s,Wooden Baseball Bat,Black Hiking Jacket,Strapped Leather Sandal,Black Short Babyperm,Black Backpack,Professor,Late Night,Old Snack Bar,Crack Knuckles,Bullet
5036,20s,Rusty Hammer,Vest With Slits,Red Football Boots,Long Hair,Lion Shaped Ring,Professor,Around Midnight,Subway Station Entrance,TV Sports Commentaries,Irregular Footprints
5037,20s,Sniper Gun ULR338,Stripe Tshirt,White Platform Sneakers,Pixie Cut,Black Disposable Mask,Chef,Night,Room Cafe,Whistle,Fly
5038,40s,Green Utility Knife,Cotton Zip Hoodie,Brown Leather Loafer,Dandy Hairstyle,Black Backpack,Mechanic,Late Night,Blackout Parking Lot,Digging With Shovel,Irregular Footprints
5039,40s,Fishing Wire,Stripe Turtleneck Knit,White Basketball Shoes,Short Hair,Tennis Wristband,Chef,Deep Dawn,University Hospital,Dog Barking,Disposable Lighter
5040,50s,Cattle Gun,Ivy League Hoodie,Brown Leather Loafer,Comma Hairstyle,Skull Shaped Ring,Professor,Deep Dawn,Old Guest House,Quite Conversation,Empty Cartridge
5041,30s,Monkey Wrench,Old Denim Jacket,Red Converse,Long Hair,Thick Chain Nechlace,Hair Designer,Late Night,Deep Forest,Phone Alarm Ringing,Irregular Footprints
5042,30s,Gasoline With Zippo,Cotton Zip Hoodie,Bare Foot,Long Permed Hair,Thick Chain Nechlace,Model,Deep Dawn,Self Service Cafe,Whistle,Fly
5043,20s,Red Chainsaw,Blue Shirt,Brown Flip Flop,Pixie Cut,Electronics Anklet,Banker,Morning,Lonesome Bus Station,Chalkboard Scraping,Bullet
5044,60s,Wrapped Blowfish Sashimi,China Collar Shirt,Black Dress Shoes,Comma Hairstyle,Millitary Backpack,Sanitation Worker,Morning,Messy Goshiwon,Finger Snap,Black Vinyl Bag
5045,60s,Water,Grey Knit Shirt,Black Low Sneakers,Short Permed Hair,Lion Shaped Ring,Janitor,Late Night,Semi Basement Apartment,Digging With Shovel,Chewed Gum
5046,40s,Coca-cola Bottle,Logo Printed Windbreaker,German Army Trainers,Comma Hairstyle,Buddhist Bead Bracelet,Engineer,Morning,Officetel Management Office,Twisting Jaw joint,Arson Attempt
5047,20s,Wooden Board,Short Padded Coat,Black Low Sneakers,Pixie Cut,Cross Charm Bracelet,Cleaner,Night,Inside Taxi,Drilling,Nail Tips
5048,40s,Police Nightstick,China Collar Shirt,Black Long Boots,Low Ponytail,Lip Piercing,Sanitation Worker,Late Night,Lecture Hall,Chalkboard Scraping,Paint Stain
5049,30s,BBQ Fork,Emerald Coach Jacket,Ivowy Suede Moccasin,Pomade Hair,Millitary Backpack,Professor,Morning,Single Corridor Apartment,Hazy Music,Disposable Lighter
5050,70s,Pesticide,Cotton Zip Hoodie,White Stained Boots,Natural Two Block,Lion Shaped Ring,Soldier,Night,Franchise Pub,Joint twisted,Excrements
5051,30s,Beer Bottle,Duck Patch Hoodie,Black Leather Loafer,Pixie Cut,Thick Chain Nechlace,Nurse,Late Night,Deep Forest,Bearing Groaning,Crumpled Cigarette Package
5052,70s,Irregular Shaped Rock,Blue Shirt,Black Converse,Buzz cut hair,Millitary Backpack,Photographer,Deep Dawn,Subway Station Entrance,Spit On Ground,Paint Stain
5053,30s,Old Circular Saw,Long Padded Coat,Black Leather Loafer,Long Hair,Wide Leather Bracelet,Janitor,Morning,Officetel Underground Parkinglot,Screaming,Maggot
5054,60s,Wooden Board,Emerald Coach Jacket,Black Low Sneakers,Mid-long Curly Hair,Tennis Wristband,Janitor,Night,Closed Amusement Park,Crack Knuckles,Written In Blood
5055,40s,Wodden Handle Shovel,Duck Patch Hoodie,Black Low Sneakers,Low Ponytail,Millitary Backpack,Professor,Late Afternoon,Private English Academy,Dog Barking,Nail Tips
5056,60s,Red Chainsaw,Charcoal Hoodie,Black Converse,Natural Two Block,Stud Earrings,Soldier,Late Night,Private English Academy,People Having Conversation,Fibrous Tissues
5057,40s,Chisel,Yellow Short Cardigan,Strapped Leather Sandal,High Ponytail,Millitary Backpack,Mechanic,Late Night,Inside Taxi,Propeller Sound,Fibrous Tissues
5058,20s,Wooden Baseball Bat,China Collar Shirt,Red Football Boots,Pink Permed Hair,Cross Charm Bracelet,Hotel Receptionist,Night,Studio Airbnb,Cars On Highway,Nail Tips
5059,40s,Pesticide,Long buttonless Cardigan,Red Converse,Mid-long Ponytail,Millitary Backpack,Mechanic,Late Night,Private English Academy,Skid Sounds,Women`s Underwear
5060,30s,Beer Bottle,Duck Patch Hoodie,White Running Shoes,Dandy Hairstyle,Eyebrow Piercing,Mart Cashier,Morning,Hostel (Normal Dorm),Backpack Stuff Shaking,Fingerprints
5061,40s,Studded Dirty Knuckle,Long Field Jacket,Red Converse,Mid-long Ponytail,Tennis Wristband,Model,Morning,PC cafe,Whistle,Women`s Underwear
5062,30s,Wrapped Blowfish Sashimi,White Tshirt,Old Leather Oxford,Short Permed Hair,Leg Prosthetics,Nurse,Late Afternoon,Blackout Parking Lot,Grind one`s Teeth,Crumpled Cigarette Package
5063,50s,Walther PPK .32ACP,Emerald Coach Jacket,Logo Printed Slider,Pink Permed Hair,Tennis Wristband,Actor,Late Night,Night Mountain,Hammering Sound,Feather
5064,30s,Crosshead Screwdriver,Crop Vest Knit,Red Football Boots,Short Permed Hair,Leg Prosthetics,Mart Cashier,Late Night,Cafe Terrace,Remote Air Conditioner,Body Hair
5065,30s,Fire Poker,Long Field Jacket,White Running Shoes,High Ponytail,Tennis Wristband,Soldier,Early Morning,Semi Basement Apartment,People Having Conversation,Lipstick Stained Cigarette
5066,40s,Shinai,Brown Wool Coat,White Running Shoes,Short Permed Hair,Colorful Bracelets,Director,Early Morning,Greek Style Pension,Electric Fan Sound,Used Toilet Paper
5067,50s,Bottle of Propofol,Jersey Zip Hoodie,Ivory Converse,Short Permed Hair,Drop earrings,Janitor,Morning,Back Seats,Throw Up Blood,Fly
5068,50s,Gasoline With Zippo,Grey Fleece Hoodie,Blue Football Boots,Mid-long Ponytail,Millitary Backpack,Guard,Late Night,Self Service Bar,Draw On Asphalt,Black Vinyl Bag
5069,40s,Venomous Snake Cage,Long Padded Coat,White Platform Sneakers,Natural Two Block,Colorful Bracelets,Lawyer,Late Night,Messy Dumpster Alley,Reading Buddhist Text,Empty Cartridge
5070,60s,Potassium Cyanide,White Shirt,Strapped Leather Sandal,Natural Two Block,Gold Cross Necklace,Janitor,Late Night,Single Corridor Apartment,Counting Money,Arson Attempt
5071,30s,Water,Duck Patch Hoodie,Red Football Boots,Mid-long Ponytail,Engagement Ring,Professor,Night,Big Square Onstage,Keyboard Sound,Paint Stain
5072,30s,Wood Branch,Black Poncho Raincoat,Brown Leather Loafer,Natural Two Block,Black Disposable Mask,Cleaner,Night,Officetel Staircase,Gas Range On,Skid Mark
5073,50s,Sulfuric Acid,Old Denim Jacket,Strapped Leather Sandal,Dandy Hairstyle,Drop earrings,Hotel Receptionist,Morning,Closed Amusement Park,Running Treadmill,Written In Blood
5074,20s,Broken Beer Bottle,Grey Hiking Jacket,Suede Boat shoes,High Ponytail,Thick Chain Nechlace,Sanitation Worker,Late Night,Messy Goshiwon,Crack Knuckles,Disposable Lighter
5075,20s,Wooden Board,Yellow Short Cardigan,Blue Colored Boots,Bob With Bangs,Millitary Backpack,Actor,Late Night,Messy Dumpster Alley,Phone Alarm Ringing,Glass Fragments
5076,30s,Wood Branch,Vest With Slits,Knee High Wellies,Short Hair,Skull Shaped Ring,Janitor,Late Afternoon,Middle School,Cars On Highway,Paint Stain
5077,50s,Thick Rubber Wire,Cotton Zip Hoodie,Ivowy Suede Moccasin,Pomade Hair,Colorful Bracelets,Chef,Night,Old DVD room,Cars On Highway,Fingerprints
5078,70s,Irregular Shaped Rock,Black Hiking Jacket,Blue Football Boots,Cherry Red Hair,Gold Cross Necklace,Hotel Receptionist,Night,School Reunions,Neon Sign Noise,Used Toilet Paper
5079,30s,Flathead Screwdriver,Long buttonless Cardigan,Knee High Wellies,Cherry Red Hair,Buddhist Bead Bracelet,Director,Late Night,Haunted House,Cars On Highway,Maggot
5080,30s,Wrapped Blowfish Sashimi,Charcoal Hoodie,Black Chelsea Boots,Dandy Hairstyle,Buddhist Bead Bracelet,Engineer,Night,Small Old Supermarket,Washing Machine Sound,Disposable Lighter
5081,20s,Glacial Acetic Acid,Blue Shirt,Brown Flip Flop,Perm With Bangs,Lion Shaped Ring,Cleaner,Deep Dawn,Night Mountain,Fan Sound,Scorch Mark
5082,20s,Old Striped Tie,Grey Hiking Jacket,Black Low Sneakers,Perm With Bangs,Millitary Backpack,Nurse,Morning,Old Snack Bar,Plastic Beating Sound,Women`s Underwear
5083,40s,Gasoline With Zippo,Old Denim Jacket,White Basketball Shoes,Long Permed Hair,Colorful Bracelets,Lawyer,Late Night,Back Seats,Cutlery Falling down,Fibrous Tissues
5084,20s,Wrapped Knife,Bulletproof Vest,Ivowy Suede Moccasin,Pink Permed Hair,Engagement Ring,Engineer,Night,Middle School,Cutlery Falling down,Paint Stain
5085,20s,Poisonous Mushroom Broth,Cotton Zip Hoodie,Chess Patteren loafer,Long Curly Hair,Skull Shaped Ring,Engineer,Night,Dormitory High School,Slip and Crash,Written In Blood
5086,30s,Microgun XM214,Logo Printed Windbreaker,Red Football Boots,Dandy Hairstyle,Black Backpack,Firefighter,Morning,Inside Camping Car,Grind one`s Teeth,Light Brown Hair
5087,70s,Board With Nails,Long Field Jacket,White Basketball Shoes,Short Hair,Lion Shaped Ring,Engineer,Night,Single Corridor Apartment,Grind one`s Teeth,Nail Tips
5088,20s,Mercury,Crop Vest Knit,Black Boots,Long Hair,Black Backpack,Nurse,Morning,Shared Office Toilet,Hammering Sound,Light Brown Hair
5089,50s,Mercury,Jersey Zip Hoodie,White Basketball Shoes,Black Short Babyperm,Silver Stainless Ring,Police Officer,Night,Officetel Management Office,Twisting Jaw joint,Fly
5090,50s,Surgical Blade,Old Leather Jacket,Red Football Boots,Short Permed Hair,Black Backpack,Mart Cashier,Late Night,Small Old Supermarket,Cutlery Falling down,Lipstick Stained Cigarette
5091,40s,Flathead Screwdriver,Bulletproof Vest,Black Converse,High Ponytail,Gold Cross Necklace,Engineer,Night,Inn Near Brothel,Cars On Highway,Light Brown Hair
5092,20s,Coca-cola Bottle,Cotton Zip Hoodie,White Basketball Shoes,Brown Short Babyperm,Silver Stainless Ring,Hair Designer,Late Night,Semi Basement Apartment,Chewing Gum,Headlight
5093,40s,Sharp Pencil,Undershirt,Red Football Boots,High Ponytail,Millitary Backpack,Guard,Night,Karaoke Underground,Grind one`s Teeth,Weapon Without Fingerprint
5094,40s,Poisonous Mushroom Broth,Emerald Coach Jacket,Blue Colored Boots,Mid-long Straight Hair,Leg Prosthetics,Actor,Morning,Old DVD room,Whistle,Women`s Underwear
5095,40s,Red Chainsaw,Stripe Tshirt,German Army Trainers,Natural Two Block,Electronics Anklet,Director,Deep Dawn,Messy Dumpster Alley,Thermometer Noise,Arson Attempt
5096,30s,Charging Cable,Crop Vest Knit,German Army Trainers,Short Curly Hair,Stud Earrings,Director,Morning,Big Square Backstage,Neon Sign Noise,Footprint 245mm Highheels
5097,40s,Irregular Shaped Rock,Ivy League Hoodie,German Army Trainers,Pixie Cut,Electronics Anklet,Soldier,Deep Dawn,Officetel Underground Parkinglot,Irregular Walking Sound,Glass Fragments
5098,20s,Ice Pick,Purple Short Cardigan,Black Boots,Black Short Babyperm,Skull Shaped Ring,Cleaner,Late Night,Semi Basement Apartment,Crack Knuckles,Footprint 245mm Highheels
5099,20s,Glacial Acetic Acid,Grey Knit Shirt,Logo Printed Slider,Bob With Bangs,Cross Charm Bracelet,Mart Cashier,Night,Inside Camping Car,Cars On Highway,Fibrous Tissues
5100,20s,Walther PPK ,Stripe Tshirt,Red Converse,Long Permed Hair,Lion Shaped Ring,Nurse,Deep Dawn,Female Outfit Outlet,TV Sports Commentaries,Metal Fragments
5101,50s,Sniper Gun ULR338,Long buttonless Cardigan,Suede Boat shoes,Mid-long Straight Hair,Electronics Anklet,Mart Cashier,Late Afternoon,Shared Office Toilet,Crack Knuckles,Fibrous Tissues
5102,30s,Submachine Gun K16,Long Field Jacket,White Platform Sneakers,High Ponytail,Buddhist Bead Bracelet,Mechanic,Deep Dawn,Female Outfit Outlet,Sound of Wave,Crumpled Cigarette Package
